"","country_code","month","active_editors","active_editors_ns0"
"315","CY","2021-07","1 - 10","1 - 10"
"316","CY","2021-08","1 - 10","1 - 10"
"317","CZ","2020-09","> 100","> 100"
"318","CZ","2020-10","> 100","> 100"
"319","CZ","2020-11","> 100","> 100"
"320","CZ","2020-12","> 100","> 100"
"321","CZ","2021-01","> 100","> 100"
"322","CZ","2021-02","> 100","> 100"
"323","CZ","2021-03","> 100","> 100"
"324","CZ","2021-04","> 100","> 100"
"325","CZ","2021-05","> 100","> 100"
"326","CZ","2021-06","> 100","> 100"
"327","CZ","2021-07","> 100","> 100"
"328","CZ","2021-08","> 100","> 100"
"329","DE","2020-09","> 100","> 100"
"330","DE","2020-10","> 100","> 100"
"331","DE","2020-11","> 100","> 100"
"332","DE","2020-12","> 100","> 100"
"333","DE","2021-01","> 100","> 100"
"334","DE","2021-02","> 100","> 100"
"335","DE","2021-03","> 100","> 100"
"336","DE","2021-04","> 100","> 100"
"337","DE","2021-05","> 100","> 100"
"338","DE","2021-06","> 100","> 100"
"339","DE","2021-07","> 100","> 100"
"340","DE","2021-08","> 100","> 100"
"341","DK","2020-09","71 - 80","71 - 80"
"342","DK","2020-10","71 - 80","71 - 80"
"343","DK","2020-11","71 - 80","71 - 80"
"344","DK","2020-12","71 - 80","71 - 80"
"345","DK","2021-01","71 - 80","71 - 80"
"346","DK","2021-02","61 - 70","61 - 70"
"347","DK","2021-03","71 - 80","71 - 80"
"348","DK","2021-04","81 - 90","71 - 80"
"349","DK","2021-05","71 - 80","71 - 80"
"350","DK","2021-06","61 - 70","61 - 70"
"351","DK","2021-07","51 - 60","51 - 60"
"352","DK","2021-08","71 - 80","71 - 80"
"353","DO","2020-09","11 - 20","11 - 20"
"354","DO","2020-10","11 - 20","11 - 20"
"355","DO","2020-11","11 - 20","11 - 20"
"356","DO","2020-12","11 - 20","11 - 20"
"357","DO","2021-01","31 - 40","31 - 40"
"358","DO","2021-02","21 - 30","21 - 30"
"359","DO","2021-03","21 - 30","21 - 30"
"360","DO","2021-04","21 - 30","21 - 30"
"361","DO","2021-05","31 - 40","31 - 40"
"362","DO","2021-06","11 - 20","11 - 20"
"363","DO","2021-07","11 - 20","11 - 20"
"364","DO","2021-08","21 - 30","21 - 30"
"365","DZ","2020-09","11 - 20","11 - 20"
"366","DZ","2020-10","21 - 30","21 - 30"
"367","DZ","2020-11","21 - 30","21 - 30"
"368","DZ","2020-12","21 - 30","21 - 30"
"369","DZ","2021-01","11 - 20","11 - 20"
"370","DZ","2021-02","11 - 20","11 - 20"
"371","DZ","2021-03","21 - 30","21 - 30"
"372","DZ","2021-04","21 - 30","21 - 30"
"373","DZ","2021-05","11 - 20","11 - 20"
"374","DZ","2021-06","11 - 20","11 - 20"
"375","DZ","2021-07","11 - 20","11 - 20"
"376","DZ","2021-08","11 - 20","11 - 20"
"377","EC","2020-09","31 - 40","31 - 40"
"378","EC","2020-10","21 - 30","21 - 30"
"379","EC","2020-11","21 - 30","21 - 30"
"380","EC","2020-12","11 - 20","11 - 20"
"381","EC","2021-01","31 - 40","31 - 40"
"382","EC","2021-02","21 - 30","21 - 30"
"383","EC","2021-03","21 - 30","21 - 30"
"384","EC","2021-04","21 - 30","21 - 30"
"385","EC","2021-05","31 - 40","31 - 40"
"386","EC","2021-06","21 - 30","21 - 30"
"387","EC","2021-07","31 - 40","31 - 40"
"388","EC","2021-08","21 - 30","21 - 30"
"389","EE","2020-09","> 100","> 100"
"390","EE","2020-10","> 100","> 100"
"391","EE","2020-11","> 100","> 100"
"392","EE","2020-12","> 100","> 100"
"393","EE","2021-01","> 100","> 100"
"394","EE","2021-02","> 100","> 100"
"395","EE","2021-03","91 - 100","91 - 100"
"396","EE","2021-04","91 - 100","91 - 100"
"397","EE","2021-05","81 - 90","81 - 90"
"398","EE","2021-06","91 - 100","91 - 100"
"399","EE","2021-07","> 100","> 100"
"400","EE","2021-08","> 100","> 100"
"401","ES","2020-09","> 100","> 100"
"402","ES","2020-10","> 100","> 100"
"403","ES","2020-11","> 100","> 100"
"404","ES","2020-12","> 100","> 100"
"405","ES","2021-01","> 100","> 100"
"406","ES","2021-02","> 100","> 100"
"407","ES","2021-03","> 100","> 100"
"408","ES","2021-04","> 100","> 100"
"409","ES","2021-05","> 100","> 100"
"410","ES","2021-06","> 100","> 100"
"411","ES","2021-07","> 100","> 100"
"412","ES","2021-08","> 100","> 100"
"413","FI","2020-09","> 100","> 100"
"414","FI","2020-10","> 100","> 100"
"415","FI","2020-11","> 100","> 100"
"416","FI","2020-12","> 100","> 100"
"417","FI","2021-01","> 100","> 100"
"418","FI","2021-02","> 100","> 100"
"419","FI","2021-03","> 100","> 100"
"420","FI","2021-04","> 100","> 100"
"421","FI","2021-05","> 100","> 100"
"422","FI","2021-06","> 100","> 100"
"423","FI","2021-07","> 100","> 100"
"424","FI","2021-08","> 100","> 100"
"425","FJ","2020-09","1 - 10","1 - 10"
"426","FJ","2020-11","1 - 10","1 - 10"
"427","FJ","2020-12","1 - 10","1 - 10"
"428","FJ","2021-04","1 - 10","1 - 10"
"429","FO","2020-09","1 - 10","1 - 10"
"430","FO","2020-10","1 - 10","1 - 10"
"431","FO","2020-11","1 - 10","1 - 10"
"432","FO","2020-12","1 - 10","1 - 10"
"433","FO","2021-01","1 - 10","1 - 10"
"434","FO","2021-02","1 - 10","1 - 10"
